Time,Isoprene,Radiation,Oxides,Temp,RH,WS,WD,Toluene,Month,Hour,Day,Year,u,v,LAI,leaf_stage
2019/5/1 5:00,10.40889091,35.8,31.75626232,15.2,94.1,1.1,250,2.023,5,5,1,2019,1.033661883,0.376222158,0.805492891,2
2019/5/1 6:00,11.8446,104.2,31.51291932,15.9,94.2,1.5,269,1.513,5,6,1,2019,1.499771543,0.02617861,0.805492891,2
2019/5/1 7:00,13.28030909,275.3,35.3050145,17.1,90.3,1.9,271,1.646,5,7,1,2019,1.899710621,-0.033159572,0.805492891,2
2019/5/1 8:00,15.43387272,338.4,41.20608242,18.3,85.9,2.4,290,1.524,5,8,1,2019,2.25526229,-0.820848344,0.805492891,2
2019/5/1 9:00,17.94636363,542.2,48.6483227,19.5,81.7,2.2,270,1.408,5,9,1,2019,2.2,4.04E-16,0.805492891,2
2019/5/1 10:00,12.20352727,523.6,63.51252468,20.7,77.5,2.3,292,1.317,5,10,1,2019,2.132522866,-0.861595165,0.805492891,2
2019/5/1 11:00,19.741,637.4,78.74174117,21.8,72.7,2.8,295,1.065,5,11,1,2019,2.537661804,-1.183331133,0.805492891,2
2019/5/1 12:00,9.332109089,555.6,93.13953576,22.8,68.1,2.5,293,1.047,5,12,1,2019,2.301262134,-0.976827821,0.805492891,2
2019/5/1 14:00,7.537472726,142.9,78.84313411,21,65.6,3.7,4,1.036,5,14,1,2019,-0.258098953,-3.690986986,0.805492891,2
2019/5/1 15:00,9.332109089,181.9,77.48446895,20.8,56.3,3,21,1.255,5,15,1,2019,-1.075103849,-2.800741279,0.805492891,2
2019/5/1 16:00,11.48567273,268.5,86.65038891,21.6,51.7,2.3,45,1.048,5,16,1,2019,-1.626345597,-1.626345597,0.805492891,2
2019/5/1 17:00,8.255327271,116.4,88.04961116,21.3,51.8,2.2,25,0.527,5,17,1,2019,-0.929760176,-1.993877131,0.805492891,2
2019/5/1 18:00,6.819618181,36,82.9799652,20,56.5,1.6,44,0.481,5,18,1,2019,-1.111453393,-1.150943681,0.805492891,2
2019/5/1 20:00,7.178545453,30.2,65.98651192,17.8,68.1,0.9,23,0.511,5,20,1,2019,-0.351658016,-0.828454368,0.805492891,2
2019/5/2 5:00,30.1498909,43.1,41.14524663,14.2,87.9,0.4,360,2.168,5,5,2,2019,0,-0.4,0.712241033,2
2019/5/2 6:00,24.40705454,140.7,41.46970399,15.5,81.9,0.7,359,2.088,5,6,2,2019,0.012216685,-0.699893387,0.712241033,2
2019/5/2 7:00,15.07494545,290.9,46.60018571,17.8,77.1,0.6,1,2.239,5,7,2,2019,-0.010471444,-0.599908617,0.712241033,2
2019/5/2 8:00,9.332109089,484,52.76487521,18.9,76.2,1.5,4,1.455,5,8,2,2019,-0.104634711,-1.496346075,0.712241033,2
2019/5/2 9:00,9.332109089,603.2,66.16901916,20.1,62.2,1.7,19,1.091,5,9,2,2019,-0.553465863,-1.607381579,0.712241033,2
2019/5/2 10:00,6.819618181,764.1,72.98262336,21.6,52.5,1.5,358,0.819,5,10,2,2019,0.052349245,-1.499086241,0.712241033,2
2019/5/2 11:00,6.819618181,758.7,77.93059781,22.6,41.3,1.7,22,0.884,5,11,2,2019,-0.636831209,-1.576212553,0.712241033,2
2019/5/2 12:00,8.973181817,649,83.95333722,23,39.5,2,2,0.619,5,12,2,2019,-0.069798993,-1.998781654,0.712241033,2
2019/5/2 14:00,12.56245454,581.5,87.60348236,24.3,31,2.2,339,0.347,5,14,2,2019,0.788409489,-2.053876938,0.712241033,2
2019/5/2 15:00,14.35709091,426.4,87.522368,24.7,28.2,2.6,44,0.22,5,15,2,2019,-1.806111763,-1.870283481,0.712241033,2
2019/5/2 16:00,13.28030909,300.5,87.13707492,24.5,30.8,2.9,46,0.205,5,16,2,2019,-2.086085421,-2.014509274,0.712241033,2
2019/5/2 17:00,17.22850909,132.8,80.68848522,23.6,32.7,2.5,46,0.24,5,17,2,2019,-1.798349501,-1.736645926,0.712241033,2
2019/5/2 18:00,12.20352727,42.5,71.13727224,22.3,34.7,1.8,68,0.423,5,18,2,2019,-1.668930938,-0.674291868,0.712241033,2
2019/5/2 19:00,6.819618181,30.7,61.66717354,20.8,38.1,1.3,45,0.636,5,19,2,2019,-0.919238816,-0.919238816,0.712241033,2
2019/5/2 20:00,17.94636363,30.3,57.87507833,19.7,44,1.5,90,1.002,5,20,2,2019,-1.5,-9.18E-17,0.712241033,2
2019/5/3 5:00,14.71601818,46.4,45.99182818,14.3,73.7,0.5,113,3.117,5,5,3,2019,-0.460252427,0.195365564,0.712241033,2
2019/5/3 6:00,15.43387272,171.2,51.0006384,16.6,64.5,0.4,0,3.924,5,6,3,2019,0,-0.4,0.712241033,2
2019/5/3 7:00,17.94636363,366.5,60.47073707,18.8,54,0.5,1,2.664,5,7,3,2019,-0.008726203,-0.499923848,0.712241033,2
2019/5/3 8:00,22.25349091,557.7,66.25013349,20.7,39.4,1.2,115,1.491,5,8,3,2019,-1.087569344,0.507141914,0.712241033,2
2019/5/3 9:00,22.97134545,727.8,69.25136392,22.2,31.1,1.6,116,1.066,5,9,3,2019,-1.438070474,0.701393835,0.712241033,2
2019/5/3 10:00,28.35525454,843.7,74.28045273,23.4,29.8,1.7,90,1.091,5,10,3,2019,-1.7,-1.04E-16,0.712241033,2
2019/5/3 11:00,19.741,904.9,76.00413234,24.3,26.7,1.8,116,0.674,5,11,3,2019,-1.617829283,0.789068064,0.712241033,2
2019/5/3 12:00,30.1498909,898.4,81.15489266,25.1,28.3,1.6,116,0.649,5,12,3,2019,-1.438070474,0.701393835,0.712241033,2
2019/5/3 14:00,24.76598181,676.3,88.55657575,25.9,27.6,1.8,158,0.4,5,14,3,2019,-0.674291868,1.668930938,0.712241033,2
2019/5/3 15:00,15.7928,504.9,96.87079519,26.1,26.4,2.1,135,0.53,5,15,3,2019,-1.48492424,1.48492424,0.712241033,2
2019/5/3 16:00,22.61241818,311.4,95.49185146,26,27.6,1.8,136,0.346,5,16,3,2019,-1.250385067,1.294811641,0.712241033,2
2019/5/3 17:00,10.04996363,135.3,85.2511666,25.1,26.8,2.4,159,0.305,5,17,3,2019,-0.860083079,2.240593024,0.712241033,2
2019/5/3 18:00,5.024981817,38.8,79.73539178,23.7,29.2,2,154,0.34,5,18,3,2019,-0.876742294,1.797588093,0.712241033,2
2019/5/3 19:00,5.024981817,30.9,73.71265236,22.3,33.6,1.8,134,0.333,5,19,3,2019,-1.294811641,1.250385067,0.712241033,2
2019/5/5 10:00,54.55694545,661.8,85.83924554,22.9,50.5,1.9,113,0.833,5,10,5,2019,-1.748959222,0.742389144,0.712241033,2
